source,target,relationship,properties
Abhaya lavana,11609,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Sarkara""}"
Abhaya lavana,3686;21324,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Sirahsula""}"
Abhaya lavana,7053,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Yakrtplihodara""}"
Abhaya lavana,7754,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Sarkara""}"
Abhaya lavana,14912,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Asthila""}"
Abhaya lavana,6342,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Asthila""}"
Abhaya lavana,4822,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Yakrtplihodara""}"
Abhaya lavana,11637;19849,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Asmari""}"
Abhaya lavana,21329,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Anaha""}"
Abhaya lavana,1773,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Asmari""}"
Abhaya lavana,2674,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Mandagni""}"
Abhaya lavana,21488,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Gulma""}"
Abhaya vati,7053,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Pleeha Roga""}"
Abhaya vati,3882,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Kumbhakamala""}"
Abhaya vati,1179,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Pandu Roga""}"
Abhaya vati,2675,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Ajirna""}"
Abhaya vati,20991,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Ajirna""}"
Abhaya vati,4361;21210,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Kamala""}"
Abhayarista,Abhaya (Harataka API),INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""171037-1"", ""quantity"": ""Pericarp"", ""pharmacopoeia_ref"": ""Terminalia chebula""}"
Abhayarista,Mridvaka (Draksa API),INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""30478388-2"", ""quantity"": ""Dr. Fr."", ""pharmacopoeia_ref"": ""Vitis vinifera""}"
Abhayarista,Vidanga API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""588451-1"", ""quantity"": ""Fruit"", ""pharmacopoeia_ref"": ""Embelia ribes""}"
Abhayarista,Madhuka Kusuma (Madhuka API),INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""787489-1"", ""quantity"": ""Flower"", ""pharmacopoeia_ref"": ""Madhuca indica""}"
Abhayarista,Jala for decoction,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""NA"", ""quantity"": ""NA"", ""pharmacopoeia_ref"": ""Water""}"
Abhayarista,ShvadaÆstra (Goksura API),INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""873490-1"", ""quantity"": ""Fruit"", ""pharmacopoeia_ref"": ""Tribulus terrestris""}"
Abhayarista,Trivrita (Trivrit API),INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""270819-1"", ""quantity"": ""Root"", ""pharmacopoeia_ref"": ""Operculina turpethum""}"
Abhayarista,Dhanya (Dhanyaka API),INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""840760-1"", ""quantity"": ""Fruit"", ""pharmacopoeia_ref"": ""Coriandrum sativum""}"
Abhayarista,Dhataka API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""554290-1"", ""quantity"": ""Flower"", ""pharmacopoeia_ref"": ""Woodfordia fruticosa""}"
Abhayarista,Indravaruna API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""291930-1"", ""quantity"": ""Root"", ""pharmacopoeia_ref"": ""Citrullus colocynthis""}"
Abhayarista,Cavya API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""683079-1"", ""quantity"": ""Stem"", ""pharmacopoeia_ref"": ""Piper retrofractum""}"
Abhayarista,Madhurika (Misreya API),INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""842680-1"", ""quantity"": ""Fruit"", ""pharmacopoeia_ref"": ""Foeniculum vulgare""}"
Abhayarista,Shuntha API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""798372-1"", ""quantity"": ""Rhizome"", ""pharmacopoeia_ref"": ""Zingiber officinale""}"
Abhayarista,Danta API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""339718-1"", ""quantity"": ""Root"", ""pharmacopoeia_ref"": ""Baliospermum montanum""}"
Abhayarista,Mocarasa (Shalmala API),INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""563332-1"", ""quantity"": ""Exudate"", ""pharmacopoeia_ref"": ""Salmalia malabarica""}"
Abhayarista,20710,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Arsa""}"
Abhayarista,5644,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Sthaulya""}"
Abhayarista,3870,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Arsa""}"
Abhayarista,2666,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Kashtaartava""}"
Abhayarista,14181,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Varcovibandha""}"
Abhayarista,2245,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Varcovibandha""}"
Abhayarista,6527,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Bhagandara""}"
Abhayarista,7071,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Katigraha""}"
Abhayarista,2674,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Agnimandya""}"
Abhayarista,8535;21283,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Mutravibandha""}"
Abhayarista,3266,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Parikartika""}"
